starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 27 14:17:18 2016	1453900638	0	48	48	47
Wed Jan 27 14:17:14 2016	1453900634	0	48	48	47
Wed Jan 27 14:17:18 2016	1453900638	0	48	48	47
Wed Jan 27 14:17:15 2016	1453900635	0	48	48	47
Wed Jan 27 14:17:13 2016	1453900633	0	48	48	47
Wed Jan 27 14:17:14 2016	1453900634	0	48	48	47
Wed Jan 27 14:17:16 2016	1453900636	0	48	48	47
Wed Jan 27 14:17:23 2016	1453900643	0	48	48	47
Wed Jan 27 14:17:19 2016	1453900639	0	48	48	47
Wed Jan 27 14:17:20 2016	1453900640	0	48	48	47
Wed Jan 27 14:17:24 2016	1453900644	0	48	48	47
Wed Jan 27 14:17:21 2016	1453900641	0	48	48	47
Wed Jan 27 14:17:23 2016	1453900643	0	48	48	48
Wed Jan 27 14:17:15 2016	1453900635	0	48	48	48
Wed Jan 27 14:17:18 2016	1453900638	0	48	48	48
Wed Jan 27 14:17:17 2016	1453900637	0	48	48	48
Wed Jan 27 14:17:24 2016	1453900644	0	48	48	48
Wed Jan 27 14:17:16 2016	1453900636	0	48	48	48
Wed Jan 27 14:17:15 2016	1453900635	0	48	48	48
Wed Jan 27 14:17:13 2016	1453900633	0	48	48	48
Wed Jan 27 14:17:18 2016	1453900638	0	48	48	48
Wed Jan 27 14:17:19 2016	1453900639	0	48	48	48
Wed Jan 27 14:17:24 2016	1453900644	0	48	48	48
Wed Jan 27 14:17:22 2016	1453900642	0	48	48	48
Wed Jan 27 14:17:13 2016	1453900633	0	48	48	48
Wed Jan 27 14:17:13 2016	1453900633	0	48	48	48
Wed Jan 27 14:17:24 2016	1453900644	0	48	48	48
Wed Jan 27 14:17:16 2016	1453900636	0	48	48	48
Wed Jan 27 14:17:14 2016	1453900634	0	48	48	48
Wed Jan 27 14:17:15 2016	1453900635	0	48	48	48
Wed Jan 27 14:17:19 2016	1453900639	0	48	48	48
Wed Jan 27 14:17:14 2016	1453900634	0	48	48	48
Wed Jan 27 14:17:17 2016	1453900637	0	48	48	48
Wed Jan 27 14:17:20 2016	1453900640	0	48	48	48
Wed Jan 27 14:17:22 2016	1453900642	0	48	48	48
Wed Jan 27 14:17:17 2016	1453900637	0	48	48	48
Wed Jan 27 14:17:17 2016	1453900637	0	48	48	48
Wed Jan 27 14:17:20 2016	1453900640	0	48	48	48
Wed Jan 27 14:17:22 2016	1453900642	0	48	48	48
Wed Jan 27 14:17:22 2016	1453900642	0	48	48	48
Wed Jan 27 14:17:19 2016	1453900639	0	48	48	48
Wed Jan 27 14:17:20 2016	1453900640	0	48	48	48
Wed Jan 27 14:17:19 2016	1453900639	0	48	48	48
Wed Jan 27 14:17:13 2016	1453900633	0	48	48	48
Wed Jan 27 14:17:16 2016	1453900636	0	48	48	48
Wed Jan 27 14:17:14 2016	1453900634	0	48	48	48
Wed Jan 27 14:17:18 2016	1453900638	0	48	48	48
Wed Jan 27 14:17:14 2016	1453900634	0	48	48	48
Wed Jan 27 14:17:15 2016	1453900635	0	48	48	48
Wed Jan 27 14:17:22 2016	1453900642	0	48	48	48
Wed Jan 27 14:17:15 2016	1453900635	0	48	48	48
Wed Jan 27 14:17:22 2016	1453900642	0	48	49	48
Wed Jan 27 14:17:22 2016	1453900642	0	48	49	48
Wed Jan 27 14:17:15 2016	1453900635	0	48	49	48
Wed Jan 27 14:17:17 2016	1453900637	0	48	49	48
Wed Jan 27 14:17:17 2016	1453900637	0	48	49	48
Wed Jan 27 14:17:15 2016	1453900635	0	49	49	48
Wed Jan 27 14:17:13 2016	1453900633	0	49	49	48
Wed Jan 27 14:17:22 2016	1453900642	0	49	49	48
Wed Jan 27 14:17:15 2016	1453900635	0	49	49	48
Wed Jan 27 14:17:14 2016	1453900634	0	49	49	49
Wed Jan 27 14:17:23 2016	1453900643	0	49	49	49
Wed Jan 27 14:17:18 2016	1453900638	0	49	49	49
Wed Jan 27 14:17:24 2016	1453900644	0	49	49	49
Wed Jan 27 14:17:13 2016	1453900633	0	49	49	49
Wed Jan 27 14:17:19 2016	1453900639	0	49	49	49
Wed Jan 27 14:17:22 2016	1453900642	0	49	49	49
Wed Jan 27 14:17:16 2016	1453900636	0	49	49	49
Wed Jan 27 14:17:21 2016	1453900641	0	49	49	49
Wed Jan 27 14:17:16 2016	1453900636	0	49	49	49
Wed Jan 27 14:17:14 2016	1453900634	0	49	49	49
Wed Jan 27 14:17:15 2016	1453900635	0	49	49	49
Wed Jan 27 14:17:16 2016	1453900636	0	49	49	49
Wed Jan 27 14:17:18 2016	1453900638	0	49	49	49
Wed Jan 27 14:17:19 2016	1453900639	0	49	49	49
Wed Jan 27 14:17:24 2016	1453900644	0	49	49	49
Wed Jan 27 14:17:16 2016	1453900636	0	49	49	49
Wed Jan 27 14:17:14 2016	1453900634	0	49	49	49
Wed Jan 27 14:17:21 2016	1453900641	0	49	49	49
Wed Jan 27 14:17:17 2016	1453900637	0	49	49	49
Wed Jan 27 14:17:20 2016	1453900640	0	49	49	49
Wed Jan 27 14:17:15 2016	1453900635	0	49	49	49
Wed Jan 27 14:17:16 2016	1453900636	0	49	49	49
Wed Jan 27 14:17:21 2016	1453900641	0	49	49	49
Wed Jan 27 14:17:19 2016	1453900639	0	49	49	49
Wed Jan 27 14:17:17 2016	1453900637	0	49	49	49
Wed Jan 27 14:17:19 2016	1453900639	0	49	49	49
Wed Jan 27 14:17:20 2016	1453900640	0	49	49	49
Wed Jan 27 14:17:15 2016	1453900635	0	49	49	49
Wed Jan 27 14:17:18 2016	1453900638	0	49	49	49
Wed Jan 27 14:17:19 2016	1453900639	0	49	49	49
Wed Jan 27 14:17:24 2016	1453900644	0	49	49	49
Wed Jan 27 14:17:21 2016	1453900641	0	49	49	49
Wed Jan 27 14:17:23 2016	1453900643	0	49	49	49
Wed Jan 27 14:17:19 2016	1453900639	0	49	49	49
Wed Jan 27 14:17:22 2016	1453900642	0	49	49	49
Wed Jan 27 14:17:19 2016	1453900639	0	49	50	49
Wed Jan 27 14:17:23 2016	1453900643	0	49	50	49
Wed Jan 27 14:17:16 2016	1453900636	0	49	50	49
Wed Jan 27 14:17:14 2016	1453900634	0	49	50	49
Wed Jan 27 14:17:21 2016	1453900641	0	50	50	49
Wed Jan 27 14:17:17 2016	1453900637	0	50	50	49
Wed Jan 27 14:17:17 2016	1453900637	0	50	50	49
Wed Jan 27 14:17:19 2016	1453900639	0	50	50	49
Wed Jan 27 14:17:23 2016	1453900643	0	50	50	49
Wed Jan 27 14:17:24 2016	1453900644	0	50	50	50
Wed Jan 27 14:17:23 2016	1453900643	0	50	50	50
Wed Jan 27 14:17:19 2016	1453900639	0	50	50	50
Wed Jan 27 14:17:13 2016	1453900633	0	50	50	50
Wed Jan 27 14:17:15 2016	1453900635	0	50	50	50
Wed Jan 27 14:17:14 2016	1453900634	0	50	50	50
Wed Jan 27 14:17:22 2016	1453900642	0	50	50	50
Wed Jan 27 14:17:20 2016	1453900640	0	50	50	50
Wed Jan 27 14:17:20 2016	1453900640	0	50	50	50
Wed Jan 27 14:17:19 2016	1453900639	0	50	50	50
Wed Jan 27 14:17:21 2016	1453900641	0	50	50	50
Wed Jan 27 14:17:23 2016	1453900643	0	50	50	50
Wed Jan 27 14:17:17 2016	1453900637	0	50	50	50
Wed Jan 27 14:17:21 2016	1453900641	0	50	50	50
Wed Jan 27 14:17:22 2016	1453900642	0	50	50	50
Wed Jan 27 14:17:24 2016	1453900644	0	50	50	50
Wed Jan 27 14:17:23 2016	1453900643	0	50	50	50
Wed Jan 27 14:17:20 2016	1453900640	0	50	50	50
Wed Jan 27 14:17:18 2016	1453900638	0	50	50	50
Wed Jan 27 14:17:18 2016	1453900638	0	50	50	50
Wed Jan 27 14:17:17 2016	1453900637	0	50	50	50
Wed Jan 27 14:17:23 2016	1453900643	0	50	50	50
Wed Jan 27 14:17:19 2016	1453900639	0	50	50	50
Wed Jan 27 14:17:13 2016	1453900633	0	50	50	50
Wed Jan 27 14:17:16 2016	1453900636	0	50	50	50
Wed Jan 27 14:17:15 2016	1453900635	0	50	50	50
Wed Jan 27 14:17:13 2016	1453900633	0	50	50	50
Wed Jan 27 14:17:14 2016	1453900634	0	50	50	50
Wed Jan 27 14:17:20 2016	1453900640	0	50	50	50
Wed Jan 27 14:17:13 2016	1453900633	0	50	50	50
Wed Jan 27 14:17:17 2016	1453900637	0	50	50	50
Wed Jan 27 14:17:13 2016	1453900633	0	50	50	50
Wed Jan 27 14:17:23 2016	1453900643	0	50	50	50
Wed Jan 27 14:17:24 2016	1453900644	0	50	50	50
Wed Jan 27 14:17:17 2016	1453900637	0	50	50	50
Wed Jan 27 14:17:24 2016	1453900644	0	50	50	50
Wed Jan 27 14:17:15 2016	1453900635	0	50	50	50
Wed Jan 27 14:17:14 2016	1453900634	0	50	50	50
Wed Jan 27 14:17:21 2016	1453900641	0	50	50	50
Wed Jan 27 14:17:17 2016	1453900637	0	50	50	50
Wed Jan 27 14:17:22 2016	1453900642	0	50	50	50
Wed Jan 27 14:17:14 2016	1453900634	0	50	50	50
Wed Jan 27 14:17:24 2016	1453900644	0	50	51	50
Wed Jan 27 14:17:22 2016	1453900642	0	50	51	50
Wed Jan 27 14:17:18 2016	1453900638	0	50	51	50
Wed Jan 27 14:17:22 2016	1453900642	0	50	51	50
Wed Jan 27 14:17:24 2016	1453900644	0	50	51	50
Wed Jan 27 14:17:19 2016	1453900639	0	51	51	50
Wed Jan 27 14:17:14 2016	1453900634	0	51	51	50
Wed Jan 27 14:17:15 2016	1453900635	0	51	51	51
Wed Jan 27 14:17:20 2016	1453900640	0	51	51	51
Wed Jan 27 14:17:21 2016	1453900641	0	51	51	51
Wed Jan 27 14:17:17 2016	1453900637	0	51	51	51
Wed Jan 27 14:17:16 2016	1453900636	0	51	51	51
Wed Jan 27 14:17:23 2016	1453900643	0	51	51	51
Wed Jan 27 14:17:15 2016	1453900635	0	51	51	51
Wed Jan 27 14:17:19 2016	1453900639	0	51	51	51
Wed Jan 27 14:17:21 2016	1453900641	0	51	51	51
Wed Jan 27 14:17:22 2016	1453900642	0	51	51	51
Wed Jan 27 14:17:20 2016	1453900640	0	51	51	51
Wed Jan 27 14:17:21 2016	1453900641	0	51	51	51
Wed Jan 27 14:17:15 2016	1453900635	0	51	51	51
Wed Jan 27 14:17:18 2016	1453900638	0	51	51	51
Wed Jan 27 14:17:21 2016	1453900641	0	51	52	51
Wed Jan 27 14:17:15 2016	1453900635	0	52	52	52
Wed Jan 27 14:17:24 2016	1453900644	0	52	52	52
Wed Jan 27 14:17:19 2016	1453900639	0	52	52	52
